,Soma_x,Soma_y,Soma_z,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id
17109_1701_x8048_y22277,2801.7,3705.95,3800,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_1801_x6698_y12550,2870.18,3370.43,3898.15,AId,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_1901_x9602_y10508,3078.68,4598.58,3048.43,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2201_x8046_y23301,3287.07,3546.38,3392.45,MOs,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2301_x8535_y23051,3364.8,3742.77,3509.92,AId,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2301_x9418_y23665,3324.73,4101.6,3220.05,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x8977_y24184,3473.68,3864.1,2994.95,MOp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9338_y2394,3468.4,4033.8,3201.4,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9695_y9693,3760.35,4622.62,2762.85,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9954_y9122,3753.4,4759.33,2461.5,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2500_x9864_y9311,3825.18,4703.15,2582.7,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x10213_y8783,4002.32,4834.98,2378.05,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x9296_y24691,3687.68,3928.9,2763.88,MOp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x9498_y8169,4001.3,4583,2169.93,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_3101_x10824_y7188,4610.4,5007.7,1841.07,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_3701_x9228_y26684,5030.6,3600.32,1966.88,SSs,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4101_x6753_y6197,5579.45,3078.35,1573.6,SSs,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4764_x6621_y5727,6280.6,2933.77,1516.45,SSs,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4772_x9038_y27257,6253.88,3208.7,1715.5,SSs,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6201_x4328_y6753,8472.75,1546.38,2489.12,VISp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6301_x4756_y24516,7915.05,1268.12,2619.1,VISrl,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6401_x7641_y3978,8668.78,3047.12,1126.57,AUDv,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6401_x7989_y3767,8604.42,2986.32,1051.85,AUDv,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6501_x6997_y4287,8675.62,2797.3,1158.15,AUDpo,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6601_x4384_y7436,8043.73,1633.75,2106.93,VISal,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6601_x5417_y25287,8267.6,1502.43,2303.38,VISal,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6801_x7432_y4405,8968.15,2950.9,1259.6,TEa,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6901_x7203_y26714,8598.3,2227.38,1662.9,TEa,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
