region id,Abbreviation,x,y,z
353,SSp-n,84.0754,98.1988,226.791
329,SSp-bfd,94.9316,69.952,269.422
337,SSp-ll,157.251,49.1897,238.549
345,SSp-m,91.9298,120.36,184.689
369,SSp-ul,130.497,69.3116,218.008
361,SSp-tr,155.763,37.7,267.098
182305689,SSp-un,116.21,68.7084,234.3
382,CA1,125.698,123.252,319.066
423,CA2,125.518,130.425,297.825
463,CA3,129.79,147.358,305.36
918,ENTl,53.344,192.388,357.43
926,ENTm,85.7632,170.605,390.871
718,VPL,148.681,170.558,273.102
725,VPLpc,174.903,180.982,299.61
733,VPM,156.444,165.891,282.539
741,VPMpc,219.783,186.289,294.168
1126,TMd,227.765,258.958,304.129
1,TMv,194.685,267.636,300.084
985,MOp,141.312,94.1049,171.893
993,MOs,187.527,79.1772,149.965
378,SSs,61.3511,133.94,244.218
1011,AUDd,58.7508,96.892,301.666
1002,AUDp,47.1752,112.682,317.29
1027,AUDpo,58.2458,91.6376,336.565
1018,AUDv,41.8924,135.857,311.725
402,VISal,79.7562,66.9921,330.138
394,VISam,161.69,28.8858,306.512
409,VISl,84.2973,73.4865,363.714
385,VISp,124.885,48.009,362.719
425,VISpl,97.6391,87.9843,399.987
533,VISpm,160.032,28.1211,335.691
312782574,VISli,71.368,85.3246,362.036
312782628,VISpor,62.3249,109.214,382.619
39,ACAd,225.62,76.4983,177.903
48,ACAv,227.473,98.6924,193.757
723,ORBl,166.864,153.149,118.354
731,ORBm,226.499,143.182,110.978
746,ORBvl,212.593,145.931,108.867
104,AId,118.927,170.989,138.59
111,AIp,60.6636,203.896,238.603
119,AIv,119.131,196.056,148.708
894,RSPagl,177.336,32.5441,323.891
879,RSPd,211.58,29.7444,312.893
886,RSPv,222.51,49.5633,307.596
312782546,VISa,146.825,34.3465,289.931
417,VISrl,104.625,49.542,311.826
639,COAa,127.658,283.961,253.711
647,COAp,111.697,270.91,314.614
726,DG,153.351,128.422,317.417
982,FC,227.753,88.9825,285.662
19,IG,227.685,116.801,193.34
843,PAR,112.293,142.352,389.682
1037,POST,144.05,86.8445,366.736
1084,PRE,117.511,143.764,372.981
502,SUB,125.749,126.87,354.727
484682470,ProS,103.701,145.948,354.835
589508447,HATA,122.042,235.053,351.331
484682508,APr,134.222,91.9486,390.064
250,LSc,225.912,123.663,210.987
258,LSr,226.453,167.371,188.781
266,LSv,224.424,189.757,193.15
564,MS,227.688,199.471,190.496
596,NDB,215.077,255.935,187.81
629,VAL,182.829,176.421,259.73
685,VM,203.684,199.942,274.145
563807435,PoT,158.649,158.418,322.529
414,SPFm,227.759,191.366,300.129
422,SPFp,175.626,174.965,317.107
475,MG,138.424,153.086,333.166
170,LGd,135.31,128.893,302.509
218,LP,166.181,124.115,298.923
1020,PO,172.498,154.044,287.323
1029,POL,159.036,141.446,329.501
325,SGN,144.943,137.287,334.968
255,AV,187.618,154.743,241.271
127,AM,219.649,179.981,243.82
64,AD,214.245,140.106,243.4
1120,IAM,227.646,181.85,251.144
1113,IAD,226.86,168.831,246.212
155,LD,170.629,128.652,264.226
59,IMD,227.693,162.716,278.274
362,MD,226.976,156.633,270.163
366,SMT,227.71,196.853,267.942
1077,PR,227.672,211.024,262.054
149,PVT,227.711,156.462,256.254
15,PT,227.679,179.296,233.675
181,RE,227.714,204.757,252.163
560581559,Xi,227.658,209.249,259.042
189,RH,227.692,188.73,264.179
599,CM,227.712,178.268,266.567
907,PCN,220.212,175.81,273.278
575,CL,202.103,141.97,275.4
930,PF,216.437,157.074,300.226
560581563,PIL,143.478,167.875,339.523
27,IGL,125.118,148.412,309.028
563807439,IntG,133.345,162.138,317.832
178,LGv,121.294,156.981,305.795
321,SubG,125.58,181.082,305.815
483,MH,227.689,120.962,274.671
186,LH,227.693,129.044,279.181
210,LM,190.431,248.449,316.459
491,MM,227.46,244.605,321.85
525,SUM,226.917,230.399,317.263
96,DCO,129.16,200.08,450.811
101,VCO,120.95,228.949,425.617
711,CU,211.553,206.802,512.794
1039,GR,227.733,205.736,519.115
1098,MDRNd,184.855,243.472,511.381
1107,MDRNv,221.727,257.716,510.137
970,PGRNd,227.71,214.636,455.539
978,PGRNl,186.305,274.62,463.29
177,NR,227.71,232.379,495.106
169,PRP,227.688,203.105,461.204
209,LAV,160.027,193.028,443.394
202,MV,207.456,193.379,452.891
225,SPIV,173.754,195.088,467.046
